date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 36, 0, 0, 18807
03/09/20, 0, 0, 36, 0, 0, 18807
03/13/20, 0, 0, 36, 0, 0, 18807
03/17/20, 0, 0, 36, 0, 0, 18807
03/21/20, 0, 0, 36, 0, 0, 18807
03/25/20, 0, 0, 36, 0, 0, 18807
03/29/20, 0, 0, 36, 0, 0, 18807
04/02/20, 6, 0, 36, 0, 6, 18807
04/06/20, 18, 0, 36, 0, 18, 18807
04/10/20, 18, 0, 36, 0, 18, 18807
04/14/20, 43, 1, 36, 0, 43, 18807
04/18/20, 96, 2, 36, 0, 96, 18807
04/22/20, 211, 4, 36, 0, 211, 18807
04/26/20, 457, 9, 36, 0, 457, 18807
04/30/20, 947, 20, 36, 1, 947, 18807
05/04/20, 1803, 41, 36, 4, 1803, 18807
05/08/20, 2969, 76, 36, 9, 2969, 18807
05/12/20, 3982, 122, 36, 19, 3982, 18807
05/16/20, 4249, 166, 36, 35, 4249, 18807
05/20/20, 3706, 190, 36, 54, 3706, 18807
05/24/20, 2785, 191, 36, 76, 2785, 18807
05/28/20, 1896, 175, 36, 98, 1896, 18807
06/01/20, 1211, 151, 36, 118, 1211, 18807
06/05/20, 743, 125, 36, 136, 743, 18807
06/09/20, 446, 102, 36, 151, 446, 18807
06/13/20, 263, 82, 36, 163, 263, 18807
06/17/20, 154, 66, 36, 173, 154, 18807
06/21/20, 90, 54, 36, 182, 90, 18807
06/25/20, 52, 44, 36, 189, 52, 18807
06/29/20, 30, 37, 36, 195, 30, 18807
07/03/20, 18, 31, 36, 200, 18, 18807
07/07/20, 10, 26, 36, 204, 10, 18807
