date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 846, 0, 0, 447643
03/09/20, 0, 0, 846, 0, 0, 447643
03/13/20, 0, 0, 846, 0, 0, 447643
03/17/20, 0, 0, 846, 0, 0, 447643
03/21/20, 0, 0, 846, 0, 0, 447643
03/25/20, 203, 8, 846, 0, 203, 447643
03/29/20, 288, 11, 846, 0, 288, 447643
04/02/20, 457, 18, 846, 0, 457, 447643
04/06/20, 618, 24, 846, 1, 618, 447643
04/10/20, 618, 24, 846, 2, 618, 447643
04/14/20, 984, 30, 846, 2, 984, 447643
04/18/20, 1138, 39, 846, 3, 1138, 447643
04/22/20, 1277, 48, 846, 6, 1277, 447643
04/26/20, 1428, 58, 846, 11, 1428, 447643
04/30/20, 1595, 69, 846, 16, 1595, 447643
05/04/20, 1779, 80, 846, 23, 1779, 447643
05/08/20, 1982, 92, 846, 31, 1982, 447643
05/12/20, 2201, 104, 846, 41, 2201, 447643
05/16/20, 2320, 117, 846, 52, 2320, 447643
05/20/20, 2383, 127, 846, 64, 2383, 447643
05/24/20, 2437, 136, 846, 77, 2437, 447643
05/28/20, 2488, 143, 846, 92, 2488, 447643
06/01/20, 2536, 150, 846, 107, 2536, 447643
06/05/20, 2581, 156, 846, 123, 2581, 447643
06/09/20, 2622, 161, 846, 140, 2622, 447643
06/13/20, 2528, 165, 846, 157, 2528, 447643
06/17/20, 2281, 164, 846, 175, 2281, 447643
06/21/20, 2034, 159, 846, 193, 2034, 447643
06/25/20, 1811, 151, 846, 210, 1811, 447643
06/29/20, 1612, 143, 846, 227, 1612, 447643
07/03/20, 1436, 133, 846, 243, 1436, 447643
07/07/20, 1279, 124, 846, 258, 1279, 447643
