date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 369, 0, 0, 258826
03/09/20, 0, 0, 369, 0, 0, 258826
03/13/20, 0, 0, 369, 0, 0, 258826
03/17/20, 0, 0, 369, 0, 0, 258826
03/21/20, 0, 0, 369, 0, 0, 258826
03/25/20, 347, 13, 369, 0, 347, 258826
03/29/20, 485, 19, 369, 1, 485, 258826
04/02/20, 708, 28, 369, 6, 708, 258826
04/06/20, 925, 37, 369, 7, 925, 258826
04/10/20, 925, 37, 369, 10, 925, 258826
04/14/20, 2113, 50, 369, 10, 2113, 258826
04/18/20, 4630, 98, 369, 15, 4630, 258826
04/22/20, 9809, 209, 369, 25, 9809, 258826
04/26/20, 19466, 435, 369, 49, 19466, 258826
04/30/20, 34328, 840, 369, 106, 34328, 258826
05/04/20, 50320, 1433, 369, 220, 50320, 258826
05/08/20, 58794, 2077, 369, 402, 58794, 258826
05/12/20, 55223, 2540, 369, 649, 55223, 258826
05/16/20, 43715, 2683, 369, 939, 43715, 258826
05/20/20, 30761, 2540, 369, 1242, 30761, 258826
05/24/20, 20063, 2234, 369, 1531, 20063, 258826
05/28/20, 12477, 1877, 369, 1792, 12477, 258826
06/01/20, 7535, 1537, 369, 2018, 7535, 258826
06/05/20, 4470, 1245, 369, 2206, 4470, 258826
06/09/20, 2626, 1008, 369, 2356, 2626, 258826
06/13/20, 1534, 820, 369, 2483, 1534, 258826
06/17/20, 895, 672, 369, 2589, 895, 258826
06/21/20, 522, 557, 369, 2677, 522, 258826
06/25/20, 306, 465, 369, 2750, 306, 258826
06/29/20, 180, 393, 369, 2812, 180, 258826
07/03/20, 107, 334, 369, 2864, 107, 258826
07/07/20, 64, 287, 369, 2908, 64, 258826
