date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 391, 0, 0, 157327
03/09/20, 0, 0, 391, 0, 0, 157327
03/13/20, 0, 0, 391, 0, 0, 157327
03/17/20, 0, 0, 391, 0, 0, 157327
03/21/20, 0, 0, 391, 0, 0, 157327
03/25/20, 37, 1, 391, 0, 37, 157327
03/29/20, 93, 3, 391, 1, 93, 157327
04/02/20, 156, 6, 391, 1, 156, 157327
04/06/20, 175, 7, 391, 2, 175, 157327
04/10/20, 175, 7, 391, 2, 175, 157327
04/14/20, 278, 8, 391, 2, 278, 157327
04/18/20, 322, 11, 391, 2, 322, 157327
04/22/20, 361, 13, 391, 3, 361, 157327
04/26/20, 404, 16, 391, 3, 404, 157327
04/30/20, 452, 18, 391, 5, 452, 157327
05/04/20, 505, 22, 391, 6, 505, 157327
05/08/20, 563, 25, 391, 9, 563, 157327
05/12/20, 627, 29, 391, 11, 627, 157327
05/16/20, 662, 32, 391, 14, 662, 157327
05/20/20, 682, 35, 391, 18, 682, 157327
05/24/20, 699, 38, 391, 21, 699, 157327
05/28/20, 716, 40, 391, 25, 716, 157327
06/01/20, 732, 42, 391, 30, 732, 157327
06/05/20, 748, 44, 391, 34, 748, 157327
06/09/20, 763, 46, 391, 39, 763, 157327
06/13/20, 739, 47, 391, 44, 739, 157327
06/17/20, 669, 47, 391, 49, 669, 157327
06/21/20, 599, 46, 391, 54, 599, 157327
06/25/20, 535, 44, 391, 59, 535, 157327
06/29/20, 478, 41, 391, 64, 478, 157327
07/03/20, 428, 39, 391, 69, 428, 157327
07/07/20, 383, 36, 391, 73, 383, 157327
