date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 3056, 0, 0, 1671329
03/09/20, 0, 0, 3056, 0, 0, 1671329
03/13/20, 0, 0, 3056, 0, 0, 1671329
03/17/20, 0, 0, 3056, 0, 0, 1671329
03/21/20, 0, 0, 3056, 0, 0, 1671329
03/25/20, 967, 38, 3056, 2, 967, 1671329
03/29/20, 1934, 77, 3056, 6, 1934, 1671329
04/02/20, 2571, 102, 3056, 8, 2571, 1671329
04/06/20, 4212, 168, 3056, 13, 4212, 1671329
04/10/20, 4212, 168, 3056, 16, 4212, 1671329
04/14/20, 7166, 210, 3056, 19, 7166, 1671329
04/18/20, 9446, 295, 3056, 32, 9446, 1671329
04/22/20, 12185, 407, 3056, 58, 12185, 1671329
04/26/20, 15632, 548, 3056, 97, 15632, 1671329
04/30/20, 19940, 723, 3056, 151, 19940, 1671329
05/04/20, 25255, 942, 3056, 224, 25255, 1671329
05/08/20, 31695, 1211, 3056, 321, 31695, 1671329
05/12/20, 39329, 1537, 3056, 446, 39329, 1671329
05/16/20, 48141, 1927, 3056, 604, 48141, 1671329
05/20/20, 57922, 2381, 3056, 804, 57922, 1671329
05/24/20, 68290, 2896, 3056, 1050, 68290, 1671329
05/28/20, 78653, 3458, 3056, 1349, 78653, 1671329
06/01/20, 88241, 4046, 3056, 1706, 88241, 1671329
06/05/20, 96202, 4627, 3056, 2124, 96202, 1671329
06/09/20, 101747, 5168, 3056, 2601, 101747, 1671329
06/13/20, 104253, 5629, 3056, 3135, 104253, 1671329
06/17/20, 103500, 5974, 3056, 3719, 103500, 1671329
06/21/20, 99652, 6181, 3056, 4341, 99652, 1671329
06/25/20, 93228, 6241, 3056, 4989, 93228, 1671329
06/29/20, 84961, 6160, 3056, 5649, 84961, 1671329
07/03/20, 75617, 5954, 3056, 6307, 75617, 1671329
07/07/20, 65911, 5649, 3056, 6949, 65911, 1671329
