date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 43, 0, 0, 39752
03/09/20, 0, 0, 43, 0, 0, 39752
03/13/20, 0, 0, 43, 0, 0, 39752
03/17/20, 0, 0, 43, 0, 0, 39752
03/21/20, 0, 0, 43, 0, 0, 39752
03/25/20, 12, 0, 43, 0, 12, 39752
03/29/20, 12, 0, 43, 0, 12, 39752
04/02/20, 18, 0, 43, 0, 18, 39752
04/06/20, 18, 0, 43, 0, 18, 39752
04/10/20, 18, 0, 43, 0, 18, 39752
04/14/20, 31, 0, 43, 0, 31, 39752
04/18/20, 42, 1, 43, 0, 42, 39752
04/22/20, 55, 1, 43, 0, 55, 39752
04/26/20, 71, 2, 43, 0, 71, 39752
04/30/20, 92, 3, 43, 0, 92, 39752
05/04/20, 120, 4, 43, 0, 120, 39752
05/08/20, 155, 5, 43, 1, 155, 39752
05/12/20, 200, 7, 43, 1, 200, 39752
05/16/20, 257, 9, 43, 2, 257, 39752
05/20/20, 329, 12, 43, 3, 329, 39752
05/24/20, 419, 16, 43, 4, 419, 39752
05/28/20, 531, 20, 43, 6, 531, 39752
06/01/20, 667, 26, 43, 8, 667, 39752
06/05/20, 829, 32, 43, 11, 829, 39752
06/09/20, 1018, 41, 43, 14, 1018, 39752
06/13/20, 1231, 50, 43, 19, 1231, 39752
06/17/20, 1462, 61, 43, 24, 1462, 39752
06/21/20, 1700, 74, 43, 30, 1700, 39752
06/25/20, 1930, 87, 43, 38, 1930, 39752
06/29/20, 2132, 100, 43, 49, 2132, 39752
07/03/20, 2288, 113, 43, 61, 2288, 39752
07/07/20, 2383, 125, 43, 75, 2383, 39752
