date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 116, 0, 0, 54478
03/09/20, 0, 0, 116, 0, 0, 54478
03/13/20, 0, 0, 116, 0, 0, 54478
03/17/20, 0, 0, 116, 0, 0, 54478
03/21/20, 0, 0, 116, 0, 0, 54478
03/25/20, 0, 0, 116, 0, 0, 54478
03/29/20, 0, 0, 116, 0, 0, 54478
04/02/20, 12, 0, 116, 0, 12, 54478
04/06/20, 12, 0, 116, 0, 12, 54478
04/10/20, 12, 0, 116, 0, 12, 54478
04/14/20, 21, 0, 116, 0, 21, 54478
04/18/20, 28, 0, 116, 0, 28, 54478
04/22/20, 36, 1, 116, 0, 36, 54478
04/26/20, 47, 1, 116, 0, 47, 54478
04/30/20, 62, 2, 116, 0, 62, 54478
05/04/20, 80, 2, 116, 0, 80, 54478
05/08/20, 104, 3, 116, 0, 104, 54478
05/12/20, 135, 4, 116, 1, 135, 54478
05/16/20, 175, 6, 116, 1, 175, 54478
05/20/20, 226, 8, 116, 2, 226, 54478
05/24/20, 291, 10, 116, 3, 291, 54478
05/28/20, 373, 14, 116, 4, 373, 54478
06/01/20, 477, 18, 116, 5, 477, 54478
06/05/20, 607, 23, 116, 7, 607, 54478
06/09/20, 766, 29, 116, 10, 766, 54478
06/13/20, 960, 37, 116, 13, 960, 54478
06/17/20, 1188, 47, 116, 17, 1188, 54478
06/21/20, 1453, 58, 116, 22, 1453, 54478
06/25/20, 1748, 72, 116, 28, 1748, 54478
06/29/20, 2065, 87, 116, 35, 2065, 54478
07/03/20, 2387, 104, 116, 44, 2387, 54478
07/07/20, 2694, 123, 116, 55, 2694, 54478
