date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 2551, 0, 0, 999101
03/09/20, 0, 0, 2551, 0, 0, 999101
03/13/20, 0, 0, 2551, 0, 0, 999101
03/17/20, 0, 0, 2551, 0, 0, 999101
03/21/20, 0, 0, 2551, 0, 0, 999101
03/25/20, 152, 6, 2551, 0, 152, 999101
03/29/20, 363, 14, 2551, 0, 363, 999101
04/02/20, 692, 27, 2551, 0, 692, 999101
04/06/20, 912, 36, 2551, 1, 912, 999101
04/10/20, 912, 36, 2551, 3, 912, 999101
04/14/20, 1452, 44, 2551, 3, 1452, 999101
04/18/20, 1680, 57, 2551, 5, 1680, 999101
04/22/20, 1888, 71, 2551, 9, 1888, 999101
04/26/20, 2114, 86, 2551, 16, 2114, 999101
04/30/20, 2366, 102, 2551, 24, 2366, 999101
05/04/20, 2646, 119, 2551, 34, 2646, 999101
05/08/20, 2957, 137, 2551, 46, 2957, 999101
05/12/20, 3295, 156, 2551, 61, 3295, 999101
05/16/20, 3486, 175, 2551, 77, 3486, 999101
05/20/20, 3596, 191, 2551, 95, 3596, 999101
05/24/20, 3696, 205, 2551, 115, 3696, 999101
05/28/20, 3795, 217, 2551, 136, 3795, 999101
06/01/20, 3892, 228, 2551, 159, 3892, 999101
06/05/20, 3987, 238, 2551, 183, 3987, 999101
06/09/20, 4081, 248, 2551, 209, 4081, 999101
06/13/20, 3965, 255, 2551, 235, 3965, 999101
06/17/20, 3601, 255, 2551, 263, 3601, 999101
06/21/20, 3234, 249, 2551, 290, 3234, 999101
06/25/20, 2900, 238, 2551, 317, 2900, 999101
06/29/20, 2601, 225, 2551, 343, 2601, 999101
07/03/20, 2335, 212, 2551, 368, 2335, 999101
07/07/20, 2096, 198, 2551, 392, 2096, 999101
