date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 51, 0, 0, 43539
03/09/20, 0, 0, 51, 0, 0, 43539
03/13/20, 0, 0, 51, 0, 0, 43539
03/17/20, 0, 0, 51, 0, 0, 43539
03/21/20, 0, 0, 51, 0, 0, 43539
03/25/20, 18, 0, 51, 0, 18, 43539
03/29/20, 18, 0, 51, 0, 18, 43539
04/02/20, 18, 0, 51, 0, 18, 43539
04/06/20, 25, 1, 51, 0, 25, 43539
04/10/20, 25, 1, 51, 0, 25, 43539
04/14/20, 42, 1, 51, 0, 42, 43539
04/18/20, 56, 1, 51, 0, 56, 43539
04/22/20, 73, 2, 51, 0, 73, 43539
04/26/20, 95, 3, 51, 0, 95, 43539
04/30/20, 123, 4, 51, 0, 123, 43539
05/04/20, 159, 5, 51, 1, 159, 43539
05/08/20, 205, 7, 51, 1, 205, 43539
05/12/20, 264, 9, 51, 2, 264, 43539
05/16/20, 339, 12, 51, 3, 339, 43539
05/20/20, 432, 16, 51, 4, 432, 43539
05/24/20, 548, 21, 51, 6, 548, 43539
05/28/20, 690, 26, 51, 8, 690, 43539
06/01/20, 861, 33, 51, 11, 861, 43539
06/05/20, 1060, 42, 51, 15, 1060, 43539
06/09/20, 1288, 52, 51, 19, 1288, 43539
06/13/20, 1537, 64, 51, 24, 1537, 43539
06/17/20, 1796, 77, 51, 31, 1796, 43539
06/21/20, 2051, 91, 51, 39, 2051, 43539
06/25/20, 2283, 106, 51, 49, 2283, 43539
06/29/20, 2469, 121, 51, 62, 2469, 43539
07/03/20, 2591, 134, 51, 77, 2591, 43539
07/07/20, 2638, 145, 51, 93, 2638, 43539
