date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 304, 0, 0, 137744
03/09/20, 0, 0, 304, 0, 0, 137744
03/13/20, 0, 0, 304, 0, 0, 137744
03/17/20, 0, 0, 304, 0, 0, 137744
03/21/20, 0, 0, 304, 0, 0, 137744
03/25/20, 14, 0, 304, 0, 14, 137744
03/29/20, 71, 2, 304, 0, 71, 137744
04/02/20, 127, 5, 304, 1, 127, 137744
04/06/20, 156, 6, 304, 2, 156, 137744
04/10/20, 156, 6, 304, 2, 156, 137744
04/14/20, 359, 8, 304, 2, 359, 137744
04/18/20, 799, 16, 304, 2, 799, 137744
04/22/20, 1759, 36, 304, 4, 1759, 137744
04/26/20, 3783, 79, 304, 8, 3783, 137744
04/30/20, 7752, 169, 304, 17, 7752, 137744
05/04/20, 14479, 339, 304, 37, 14479, 137744
05/08/20, 23154, 613, 304, 79, 23154, 137744
05/12/20, 29948, 956, 304, 160, 29948, 137744
05/16/20, 30844, 1257, 304, 277, 30844, 137744
05/20/20, 26156, 1410, 304, 423, 26156, 137744
05/24/20, 19281, 1394, 304, 584, 19281, 137744
05/28/20, 12961, 1261, 304, 742, 12961, 137744
06/01/20, 8216, 1077, 304, 888, 8216, 137744
06/05/20, 5021, 889, 304, 1016, 5021, 137744
06/09/20, 3001, 722, 304, 1118, 3001, 137744
06/13/20, 1771, 583, 304, 1204, 1771, 137744
06/17/20, 1037, 472, 304, 1277, 1037, 137744
06/21/20, 605, 385, 304, 1338, 605, 137744
06/25/20, 353, 316, 304, 1388, 353, 137744
06/29/20, 206, 263, 304, 1431, 206, 137744
07/03/20, 121, 220, 304, 1466, 121, 137744
07/07/20, 71, 186, 304, 1496, 71, 137744
