date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 684, 0, 0, 446499
03/09/20, 0, 0, 684, 0, 0, 446499
03/13/20, 0, 0, 684, 0, 0, 446499
03/17/20, 0, 0, 684, 0, 0, 446499
03/21/20, 0, 0, 684, 0, 0, 446499
03/25/20, 187, 7, 684, 0, 187, 446499
03/29/20, 501, 20, 684, 0, 501, 446499
04/02/20, 869, 34, 684, 1, 869, 446499
04/06/20, 1362, 54, 684, 2, 1362, 446499
04/10/20, 1362, 54, 684, 2, 1362, 446499
04/14/20, 3117, 74, 684, 3, 3117, 446499
04/18/20, 6851, 145, 684, 9, 6851, 446499
04/22/20, 14627, 310, 684, 25, 14627, 446499
04/26/20, 29514, 652, 684, 61, 29514, 446499
04/30/20, 53532, 1282, 684, 141, 53532, 446499
05/04/20, 81782, 2248, 684, 318, 81782, 446499
05/08/20, 100072, 3370, 684, 607, 100072, 446499
05/12/20, 97991, 4257, 684, 1014, 97991, 446499
05/16/20, 79889, 4617, 684, 1506, 79889, 446499
05/20/20, 57337, 4453, 684, 2030, 57337, 446499
05/24/20, 37865, 3963, 684, 2538, 37865, 446499
05/28/20, 23730, 3350, 684, 3000, 23730, 446499
06/01/20, 14398, 2751, 684, 3403, 14398, 446499
06/05/20, 8566, 2228, 684, 3744, 8566, 446499
06/09/20, 5039, 1799, 684, 4014, 5039, 446499
06/13/20, 2946, 1459, 684, 4240, 2946, 446499
06/17/20, 1718, 1191, 684, 4430, 1718, 446499
06/21/20, 1002, 982, 684, 4587, 1002, 446499
06/25/20, 586, 818, 684, 4719, 586, 446499
06/29/20, 344, 687, 684, 4829, 344, 446499
07/03/20, 204, 583, 684, 4921, 204, 446499
07/07/20, 122, 497, 684, 4998, 122, 446499
