date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 684, 0, 0, 446499
03/09/20, 0, 0, 684, 0, 0, 446499
03/13/20, 0, 0, 684, 0, 0, 446499
03/17/20, 0, 0, 684, 0, 0, 446499
03/21/20, 0, 0, 684, 0, 0, 446499
03/25/20, 187, 7, 684, 0, 187, 446499
03/29/20, 501, 20, 684, 0, 501, 446499
04/02/20, 869, 34, 684, 1, 869, 446499
04/06/20, 1362, 54, 684, 2, 1362, 446499
04/10/20, 1362, 54, 684, 2, 1362, 446499
04/14/20, 2164, 67, 684, 3, 2164, 446499
04/18/20, 2495, 87, 684, 7, 2495, 446499
04/22/20, 2787, 108, 684, 14, 2787, 446499
04/26/20, 3099, 130, 684, 24, 3099, 446499
04/30/20, 3436, 152, 684, 37, 3436, 446499
05/04/20, 3798, 175, 684, 52, 3798, 446499
05/08/20, 4184, 199, 684, 70, 4184, 446499
05/12/20, 4587, 224, 684, 90, 4587, 446499
05/16/20, 4769, 247, 684, 114, 4769, 446499
05/20/20, 4822, 266, 684, 139, 4822, 446499
05/24/20, 4845, 280, 684, 167, 4845, 446499
05/28/20, 4852, 292, 684, 197, 4852, 446499
06/01/20, 4843, 300, 684, 228, 4843, 446499
06/05/20, 4818, 307, 684, 260, 4818, 446499
06/09/20, 4777, 312, 684, 293, 4777, 446499
06/13/20, 4502, 314, 684, 327, 4502, 446499
06/17/20, 3973, 306, 684, 361, 3973, 446499
06/21/20, 3462, 292, 684, 395, 3462, 446499
06/25/20, 3010, 274, 684, 427, 3010, 446499
06/29/20, 2616, 254, 684, 457, 2616, 446499
07/03/20, 2274, 233, 684, 486, 2274, 446499
07/07/20, 1976, 214, 684, 513, 1976, 446499
