date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 5337, 0, 0, 2180085
03/09/20, 0, 0, 5337, 0, 0, 2180085
03/13/20, 0, 0, 5337, 0, 0, 2180085
03/17/20, 0, 0, 5337, 0, 0, 2180085
03/21/20, 0, 0, 5337, 0, 0, 2180085
03/25/20, 348, 13, 5337, 1, 348, 2180085
03/29/20, 696, 27, 5337, 3, 696, 2180085
04/02/20, 2328, 93, 5337, 6, 2328, 2180085
04/06/20, 3418, 136, 5337, 13, 3418, 2180085
04/10/20, 3418, 136, 5337, 17, 3418, 2180085
04/14/20, 5822, 170, 5337, 19, 5822, 2180085
04/18/20, 7691, 239, 5337, 29, 7691, 2180085
04/22/20, 9960, 330, 5337, 50, 9960, 2180085
04/26/20, 12844, 446, 5337, 81, 12844, 2180085
04/30/20, 16508, 593, 5337, 126, 16508, 2180085
05/04/20, 21113, 777, 5337, 187, 21113, 2180085
05/08/20, 26851, 1008, 5337, 267, 26851, 2180085
05/12/20, 33905, 1295, 5337, 371, 33905, 2180085
05/16/20, 42402, 1648, 5337, 506, 42402, 2180085
05/20/20, 52409, 2076, 5337, 678, 52409, 2180085
05/24/20, 63855, 2585, 5337, 894, 63855, 2180085
05/28/20, 76471, 3177, 5337, 1164, 76471, 2180085
06/01/20, 89790, 3843, 5337, 1494, 89790, 2180085
06/05/20, 102991, 4566, 5337, 1894, 102991, 2180085
06/09/20, 115032, 5317, 5337, 2368, 115032, 2180085
06/13/20, 124841, 6054, 5337, 2920, 124841, 2180085
06/17/20, 131458, 6730, 5337, 3549, 131458, 2180085
06/21/20, 134141, 7299, 5337, 4249, 134141, 2180085
06/25/20, 132694, 7718, 5337, 5012, 132694, 2180085
06/29/20, 127395, 7958, 5337, 5821, 127395, 2180085
07/03/20, 118917, 8011, 5337, 6662, 118917, 2180085
07/07/20, 108184, 7885, 5337, 7515, 108184, 2180085
