date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 2484, 0, 0, 881549
03/09/20, 0, 0, 2484, 0, 0, 881549
03/13/20, 0, 0, 2484, 0, 0, 881549
03/17/20, 0, 0, 2484, 0, 0, 881549
03/21/20, 0, 0, 2484, 0, 0, 881549
03/25/20, 1289, 51, 2484, 1, 1289, 881549
03/29/20, 2463, 98, 2484, 4, 2463, 881549
04/02/20, 3261, 130, 2484, 7, 3261, 881549
04/06/20, 4225, 169, 2484, 9, 4225, 881549
04/10/20, 4225, 169, 2484, 10, 4225, 881549
04/14/20, 7167, 210, 2484, 13, 7167, 881549
04/18/20, 9394, 295, 2484, 27, 9394, 881549
04/22/20, 12012, 404, 2484, 52, 12012, 881549
04/26/20, 15214, 540, 2484, 91, 15214, 881549
04/30/20, 19068, 705, 2484, 145, 19068, 881549
05/04/20, 23595, 903, 2484, 216, 23595, 881549
05/08/20, 28726, 1137, 2484, 309, 28726, 881549
05/12/20, 34335, 1407, 2484, 426, 34335, 881549
05/16/20, 40139, 1706, 2484, 572, 40139, 881549
05/20/20, 45725, 2026, 2484, 748, 45725, 881549
05/24/20, 50606, 2352, 2484, 958, 50606, 881549
05/28/20, 54314, 2663, 2484, 1202, 54314, 881549
06/01/20, 56431, 2940, 2484, 1478, 56431, 881549
06/05/20, 56746, 3159, 2484, 1784, 56746, 881549
06/09/20, 55265, 3305, 2484, 2113, 55265, 881549
06/13/20, 52207, 3370, 2484, 2461, 52207, 881549
06/17/20, 47949, 3354, 2484, 2818, 47949, 881549
06/21/20, 42940, 3264, 2484, 3176, 42940, 881549
06/25/20, 37593, 3113, 2484, 3529, 37593, 881549
06/29/20, 32297, 2918, 2484, 3870, 32297, 881549
07/03/20, 27298, 2692, 2484, 4194, 27298, 881549
07/07/20, 22765, 2453, 2484, 4497, 22765, 881549
