date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 24, 0, 0, 18039
03/09/20, 0, 0, 24, 0, 0, 18039
03/13/20, 0, 0, 24, 0, 0, 18039
03/17/20, 0, 0, 24, 0, 0, 18039
03/21/20, 0, 0, 24, 0, 0, 18039
03/25/20, 6, 0, 24, 0, 6, 18039
03/29/20, 50, 2, 24, 0, 50, 18039
04/02/20, 56, 2, 24, 0, 56, 18039
04/06/20, 68, 2, 24, 0, 68, 18039
04/10/20, 68, 2, 24, 0, 68, 18039
04/14/20, 116, 3, 24, 0, 116, 18039
04/18/20, 153, 4, 24, 0, 153, 18039
04/22/20, 196, 6, 24, 0, 196, 18039
04/26/20, 250, 8, 24, 1, 250, 18039
04/30/20, 316, 11, 24, 2, 316, 18039
05/04/20, 395, 15, 24, 3, 395, 18039
05/08/20, 487, 19, 24, 4, 487, 18039
05/12/20, 592, 23, 24, 6, 592, 18039
05/16/20, 704, 29, 24, 9, 704, 18039
05/20/20, 820, 35, 24, 12, 820, 18039
05/24/20, 931, 41, 24, 16, 931, 18039
05/28/20, 1027, 48, 24, 20, 1027, 18039
06/01/20, 1099, 54, 24, 26, 1099, 18039
06/05/20, 1138, 59, 24, 32, 1138, 18039
06/09/20, 1142, 64, 24, 40, 1142, 18039
06/13/20, 1111, 67, 24, 47, 1111, 18039
06/17/20, 1048, 68, 24, 55, 1048, 18039
06/21/20, 962, 67, 24, 64, 962, 18039
06/25/20, 861, 66, 24, 72, 861, 18039
06/29/20, 755, 62, 24, 80, 755, 18039
07/03/20, 648, 59, 24, 87, 648, 18039
07/07/20, 549, 54, 24, 93, 549, 18039
