date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 203, 0, 0, 277680
03/09/20, 0, 0, 203, 0, 0, 277680
03/13/20, 0, 0, 203, 0, 0, 277680
03/17/20, 0, 0, 203, 0, 0, 277680
03/21/20, 0, 0, 203, 0, 0, 277680
03/25/20, 14, 0, 203, 0, 14, 277680
03/29/20, 58, 2, 203, 0, 58, 277680
04/02/20, 87, 3, 203, 0, 87, 277680
04/06/20, 212, 8, 203, 1, 212, 277680
04/10/20, 212, 8, 203, 3, 212, 277680
04/14/20, 488, 11, 203, 3, 488, 277680
04/18/20, 1090, 22, 203, 4, 1090, 277680
04/22/20, 2413, 49, 203, 6, 2413, 277680
04/26/20, 5258, 109, 203, 12, 5258, 277680
04/30/20, 11077, 237, 203, 25, 11077, 277680
05/04/20, 21807, 492, 203, 58, 21807, 277680
05/08/20, 37948, 940, 203, 128, 37948, 277680
05/12/20, 54725, 1583, 203, 254, 54725, 277680
05/16/20, 62905, 2264, 203, 454, 62905, 277680
05/20/20, 58328, 2736, 203, 723, 58328, 277680
05/24/20, 45778, 2865, 203, 1036, 45778, 277680
05/28/20, 32044, 2697, 203, 1360, 32044, 277680
06/01/20, 20841, 2364, 203, 1667, 20841, 277680
06/05/20, 12942, 1981, 203, 1944, 12942, 277680
06/09/20, 7812, 1621, 203, 2183, 7812, 277680
06/13/20, 4635, 1313, 203, 2385, 4635, 277680
06/17/20, 2723, 1062, 203, 2554, 2723, 277680
06/21/20, 1592, 864, 203, 2691, 1592, 277680
06/25/20, 929, 709, 203, 2803, 929, 277680
06/29/20, 542, 587, 203, 2896, 542, 277680
07/03/20, 318, 491, 203, 2974, 318, 277680
07/07/20, 187, 414, 203, 3039, 187, 277680
