date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1228, 0, 0, 846006
03/09/20, 0, 0, 1228, 0, 0, 846006
03/13/20, 0, 0, 1228, 0, 0, 846006
03/17/20, 0, 0, 1228, 0, 0, 846006
03/21/20, 0, 0, 1228, 0, 0, 846006
03/25/20, 290, 11, 1228, 1, 290, 846006
03/29/20, 728, 29, 1228, 3, 728, 846006
04/02/20, 1190, 47, 1228, 5, 1190, 846006
04/06/20, 1643, 65, 1228, 6, 1643, 846006
04/10/20, 1643, 65, 1228, 7, 1643, 846006
04/14/20, 2798, 82, 1228, 8, 2798, 846006
04/18/20, 3693, 115, 1228, 13, 3693, 846006
04/22/20, 4773, 158, 1228, 23, 4773, 846006
04/26/20, 6141, 214, 1228, 38, 6141, 846006
04/30/20, 7867, 283, 1228, 59, 7867, 846006
05/04/20, 10022, 371, 1228, 88, 10022, 846006
05/08/20, 12677, 479, 1228, 127, 12677, 846006
05/12/20, 15892, 612, 1228, 176, 15892, 846006
05/16/20, 19691, 774, 1228, 240, 19691, 846006
05/20/20, 24077, 967, 1228, 320, 24077, 846006
05/24/20, 28948, 1193, 1228, 421, 28948, 846006
05/28/20, 34104, 1449, 1228, 545, 34104, 846006
06/01/20, 39291, 1728, 1228, 696, 39291, 846006
06/05/20, 44109, 2021, 1228, 876, 44109, 846006
06/09/20, 48136, 2312, 1228, 1085, 48136, 846006
06/13/20, 50935, 2582, 1228, 1351, 50935, 846006
06/17/20, 52246, 2812, 1228, 1664, 52246, 846006
06/21/20, 51938, 2985, 1228, 2003, 51938, 846006
06/25/20, 50070, 3091, 1228, 2363, 50070, 846006
06/29/20, 46920, 3123, 1228, 2736, 46920, 846006
07/03/20, 42831, 3084, 1228, 3114, 42831, 846006
07/07/20, 38192, 2983, 1228, 3483, 38192, 846006
