date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 304, 0, 0, 137744
03/09/20, 0, 0, 304, 0, 0, 137744
03/13/20, 0, 0, 304, 0, 0, 137744
03/17/20, 0, 0, 304, 0, 0, 137744
03/21/20, 0, 0, 304, 0, 0, 137744
03/25/20, 14, 0, 304, 0, 14, 137744
03/29/20, 71, 2, 304, 0, 71, 137744
04/02/20, 127, 5, 304, 1, 127, 137744
04/06/20, 156, 6, 304, 2, 156, 137744
04/10/20, 156, 6, 304, 2, 156, 137744
04/14/20, 248, 7, 304, 2, 248, 137744
04/18/20, 287, 9, 304, 2, 287, 137744
04/22/20, 323, 12, 304, 2, 323, 137744
04/26/20, 361, 14, 304, 3, 361, 137744
04/30/20, 404, 16, 304, 4, 404, 137744
05/04/20, 451, 19, 304, 6, 451, 137744
05/08/20, 503, 22, 304, 8, 503, 137744
05/12/20, 560, 26, 304, 10, 560, 137744
05/16/20, 592, 29, 304, 13, 592, 137744
05/20/20, 610, 32, 304, 16, 610, 137744
05/24/20, 625, 34, 304, 19, 625, 137744
05/28/20, 640, 36, 304, 23, 640, 137744
06/01/20, 655, 38, 304, 27, 655, 137744
06/05/20, 668, 39, 304, 31, 668, 137744
06/09/20, 682, 41, 304, 35, 682, 137744
06/13/20, 660, 42, 304, 39, 660, 137744
06/17/20, 598, 42, 304, 44, 598, 137744
06/21/20, 535, 41, 304, 49, 535, 137744
06/25/20, 478, 39, 304, 53, 478, 137744
06/29/20, 427, 37, 304, 57, 427, 137744
07/03/20, 382, 34, 304, 62, 382, 137744
07/07/20, 342, 32, 304, 66, 342, 137744
