date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 391, 0, 0, 157327
03/09/20, 0, 0, 391, 0, 0, 157327
03/13/20, 0, 0, 391, 0, 0, 157327
03/17/20, 0, 0, 391, 0, 0, 157327
03/21/20, 0, 0, 391, 0, 0, 157327
03/25/20, 37, 1, 391, 0, 37, 157327
03/29/20, 93, 3, 391, 1, 93, 157327
04/02/20, 156, 6, 391, 1, 156, 157327
04/06/20, 175, 7, 391, 2, 175, 157327
04/10/20, 175, 7, 391, 2, 175, 157327
04/14/20, 298, 8, 391, 2, 298, 157327
04/18/20, 394, 12, 391, 2, 394, 157327
04/22/20, 511, 16, 391, 3, 511, 157327
04/26/20, 661, 22, 391, 4, 661, 157327
04/30/20, 852, 29, 391, 6, 852, 157327
05/04/20, 1096, 39, 391, 9, 1096, 157327
05/08/20, 1402, 51, 391, 13, 1402, 157327
05/12/20, 1785, 67, 391, 19, 1785, 157327
05/16/20, 2258, 86, 391, 26, 2258, 157327
05/20/20, 2831, 109, 391, 35, 2831, 157327
05/24/20, 3510, 138, 391, 46, 3510, 157327
05/28/20, 4295, 173, 391, 60, 4295, 157327
06/01/20, 5172, 213, 391, 78, 5172, 157327
06/05/20, 6109, 259, 391, 101, 6109, 157327
06/09/20, 7056, 310, 391, 128, 7056, 157327
06/13/20, 7946, 363, 391, 160, 7946, 157327
06/17/20, 8705, 416, 391, 197, 8705, 157327
06/21/20, 9267, 466, 391, 240, 9267, 157327
06/25/20, 9561, 510, 391, 289, 9561, 157327
06/29/20, 9565, 544, 391, 342, 9565, 157327
07/03/20, 9285, 566, 391, 398, 9285, 157327
07/07/20, 8759, 575, 391, 458, 8759, 157327
