date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 226, 0, 0, 181215
03/09/20, 0, 0, 226, 0, 0, 181215
03/13/20, 0, 0, 226, 0, 0, 181215
03/17/20, 0, 0, 226, 0, 0, 181215
03/21/20, 0, 0, 226, 0, 0, 181215
03/25/20, 63, 2, 226, 0, 63, 181215
03/29/20, 175, 7, 226, 0, 175, 181215
04/02/20, 301, 12, 226, 1, 301, 181215
04/06/20, 456, 18, 226, 3, 456, 181215
04/10/20, 456, 18, 226, 3, 456, 181215
04/14/20, 776, 22, 226, 3, 776, 181215
04/18/20, 1022, 32, 226, 4, 1022, 181215
04/22/20, 1319, 44, 226, 7, 1319, 181215
04/26/20, 1692, 59, 226, 11, 1692, 181215
04/30/20, 2159, 78, 226, 17, 2159, 181215
05/04/20, 2735, 102, 226, 25, 2735, 181215
05/08/20, 3433, 131, 226, 36, 3433, 181215
05/12/20, 4261, 166, 226, 49, 4261, 181215
05/16/20, 5214, 208, 226, 66, 5214, 181215
05/20/20, 6273, 258, 226, 88, 6273, 181215
05/24/20, 7397, 313, 226, 115, 7397, 181215
05/28/20, 8523, 374, 226, 147, 8523, 181215
06/01/20, 9565, 438, 226, 186, 9565, 181215
06/05/20, 10423, 501, 226, 240, 10423, 181215
06/09/20, 11023, 560, 226, 300, 11023, 181215
06/13/20, 11295, 609, 226, 367, 11295, 181215
06/17/20, 11215, 647, 226, 441, 11215, 181215
06/21/20, 10802, 669, 226, 518, 10802, 181215
06/25/20, 10108, 676, 226, 599, 10108, 181215
06/29/20, 9208, 667, 226, 680, 9208, 181215
07/03/20, 8196, 645, 226, 760, 8196, 181215
07/07/20, 7146, 612, 226, 839, 7146, 181215
