date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 38, 0, 0, 28393
03/09/20, 0, 0, 38, 0, 0, 28393
03/13/20, 0, 0, 38, 0, 0, 28393
03/17/20, 0, 0, 38, 0, 0, 28393
03/21/20, 0, 0, 38, 0, 0, 28393
03/25/20, 0, 0, 38, 0, 0, 28393
03/29/20, 6, 0, 38, 0, 6, 28393
04/02/20, 12, 0, 38, 0, 12, 28393
04/06/20, 12, 0, 38, 0, 12, 28393
04/10/20, 12, 0, 38, 0, 12, 28393
04/14/20, 19, 0, 38, 0, 19, 28393
04/18/20, 23, 0, 38, 0, 23, 28393
04/22/20, 25, 1, 38, 0, 25, 28393
04/26/20, 29, 1, 38, 0, 29, 28393
04/30/20, 32, 1, 38, 0, 32, 28393
05/04/20, 36, 1, 38, 0, 36, 28393
05/08/20, 41, 1, 38, 0, 41, 28393
05/12/20, 46, 2, 38, 0, 46, 28393
05/16/20, 48, 2, 38, 1, 48, 28393
05/20/20, 50, 2, 38, 1, 50, 28393
05/24/20, 52, 2, 38, 1, 52, 28393
05/28/20, 54, 3, 38, 1, 54, 28393
06/01/20, 56, 3, 38, 2, 56, 28393
06/05/20, 57, 3, 38, 2, 57, 28393
06/09/20, 59, 3, 38, 2, 59, 28393
06/13/20, 58, 3, 38, 3, 58, 28393
06/17/20, 53, 3, 38, 3, 53, 28393
06/21/20, 48, 3, 38, 4, 48, 28393
06/25/20, 43, 3, 38, 4, 43, 28393
06/29/20, 39, 3, 38, 4, 39, 28393
07/03/20, 36, 3, 38, 5, 36, 28393
07/07/20, 32, 2, 38, 5, 32, 28393
