date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 694, 0, 0, 494336
03/09/20, 0, 0, 694, 0, 0, 494336
03/13/20, 0, 0, 694, 0, 0, 494336
03/17/20, 0, 0, 694, 0, 0, 494336
03/21/20, 0, 0, 694, 0, 0, 494336
03/25/20, 229, 9, 694, 1, 229, 494336
03/29/20, 391, 15, 694, 1, 391, 494336
04/02/20, 614, 24, 694, 2, 614, 494336
04/06/20, 750, 30, 694, 2, 750, 494336
04/10/20, 750, 30, 694, 2, 750, 494336
04/14/20, 1277, 37, 694, 2, 1277, 494336
04/18/20, 1687, 52, 694, 4, 1687, 494336
04/22/20, 2186, 72, 694, 9, 2186, 494336
04/26/20, 2819, 98, 694, 16, 2819, 494336
04/30/20, 3625, 130, 694, 25, 3625, 494336
05/04/20, 4639, 170, 694, 39, 4639, 494336
05/08/20, 5903, 221, 694, 56, 5903, 494336
05/12/20, 7462, 285, 694, 79, 7462, 494336
05/16/20, 9344, 363, 694, 109, 9344, 494336
05/20/20, 11568, 457, 694, 146, 11568, 494336
05/24/20, 14124, 570, 694, 194, 14124, 494336
05/28/20, 16958, 702, 694, 253, 16958, 494336
06/01/20, 19959, 851, 694, 326, 19959, 494336
06/05/20, 22961, 1014, 694, 414, 22961, 494336
06/09/20, 25746, 1184, 694, 519, 25746, 494336
06/13/20, 28049, 1353, 694, 643, 28049, 494336
06/17/20, 29649, 1509, 694, 805, 29649, 494336
06/21/20, 30380, 1642, 694, 987, 30380, 494336
06/25/20, 30170, 1742, 694, 1185, 30170, 494336
06/29/20, 29073, 1802, 694, 1394, 29073, 494336
07/03/20, 27233, 1820, 694, 1611, 27233, 494336
07/07/20, 24857, 1797, 694, 1830, 24857, 494336
