date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 846, 0, 0, 447643
03/09/20, 0, 0, 846, 0, 0, 447643
03/13/20, 0, 0, 846, 0, 0, 447643
03/17/20, 0, 0, 846, 0, 0, 447643
03/21/20, 0, 0, 846, 0, 0, 447643
03/25/20, 203, 8, 846, 0, 203, 447643
03/29/20, 288, 11, 846, 0, 288, 447643
04/02/20, 457, 18, 846, 0, 457, 447643
04/06/20, 618, 24, 846, 1, 618, 447643
04/10/20, 618, 24, 846, 2, 618, 447643
04/14/20, 1054, 30, 846, 2, 1054, 447643
04/18/20, 1393, 42, 846, 3, 1393, 447643
04/22/20, 1804, 59, 846, 7, 1804, 447643
04/26/20, 2329, 80, 846, 13, 2329, 447643
04/30/20, 2998, 107, 846, 21, 2998, 447643
05/04/20, 3843, 140, 846, 32, 3843, 447643
05/08/20, 4901, 183, 846, 46, 4901, 447643
05/12/20, 6207, 236, 846, 65, 6207, 447643
05/16/20, 7801, 301, 846, 90, 7801, 447643
05/20/20, 9698, 381, 846, 121, 9698, 447643
05/24/20, 11900, 477, 846, 161, 11900, 447643
05/28/20, 14375, 590, 846, 211, 14375, 447643
06/01/20, 17047, 719, 846, 272, 17047, 447643
06/05/20, 19776, 861, 846, 347, 19776, 447643
06/09/20, 22370, 1013, 846, 437, 22370, 447643
06/13/20, 24622, 1166, 846, 542, 24622, 447643
06/17/20, 26317, 1311, 846, 663, 26317, 447643
06/21/20, 27282, 1440, 846, 799, 27282, 447643
06/25/20, 27411, 1542, 846, 950, 27411, 447643
06/29/20, 26712, 1609, 846, 1111, 26712, 447643
07/03/20, 25285, 1639, 846, 1280, 25285, 447643
07/07/20, 23296, 1631, 846, 1454, 23296, 447643
