date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 19275, 0, 0, 10039107
03/09/20, 0, 0, 19275, 0, 0, 10039107
03/13/20, 0, 0, 19275, 0, 0, 10039107
03/17/20, 0, 0, 19275, 0, 0, 10039107
03/21/20, 0, 0, 19275, 0, 0, 10039107
03/25/20, 6015, 240, 19275, 13, 6015, 10039107
03/29/20, 13550, 542, 19275, 32, 13550, 10039107
04/02/20, 29967, 1198, 19275, 78, 29967, 10039107
04/06/20, 47243, 1889, 19275, 147, 47243, 10039107
04/10/20, 47243, 1889, 19275, 198, 47243, 10039107
04/14/20, 74924, 2327, 19275, 241, 74924, 10039107
04/18/20, 86117, 3034, 19275, 391, 86117, 10039107
04/22/20, 95805, 3758, 19275, 639, 95805, 10039107
04/26/20, 105904, 4483, 19275, 979, 105904, 10039107
04/30/20, 116577, 5219, 19275, 1409, 116577, 10039107
05/04/20, 127723, 5969, 19275, 1926, 127723, 10039107
05/08/20, 139260, 6737, 19275, 2531, 139260, 10039107
05/12/20, 150741, 7521, 19275, 3222, 150741, 10039107
05/16/20, 154598, 8238, 19275, 4000, 154598, 10039107
05/20/20, 154122, 8772, 19275, 4853, 154122, 10039107
05/24/20, 152469, 9146, 19275, 5767, 152469, 10039107
05/28/20, 150087, 9398, 19275, 6728, 150087, 10039107
06/01/20, 147068, 9555, 19275, 7724, 147068, 10039107
06/05/20, 143469, 9633, 19275, 8745, 143469, 10039107
06/09/20, 139336, 9642, 19275, 9781, 139336, 10039107
06/13/20, 128659, 9546, 19275, 10823, 128659, 10039107
06/17/20, 111490, 9195, 19275, 11856, 111490, 10039107
06/21/20, 95373, 8650, 19275, 12856, 95373, 10039107
06/25/20, 81393, 8009, 19275, 13808, 81393, 10039107
06/29/20, 69431, 7341, 19275, 14701, 69431, 10039107
07/03/20, 59229, 6683, 19275, 15530, 59229, 10039107
07/07/20, 50539, 6054, 19275, 16293, 50539, 10039107
