date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 6294, 0, 0, 3338330
03/09/20, 0, 0, 6294, 0, 0, 3338330
03/13/20, 0, 0, 6294, 0, 0, 3338330
03/17/20, 0, 0, 6294, 0, 0, 3338330
03/21/20, 0, 0, 6294, 0, 0, 3338330
03/25/20, 1631, 65, 6294, 2, 1631, 3338330
03/29/20, 3317, 132, 6294, 7, 3317, 3338330
04/02/20, 5818, 232, 6294, 15, 5818, 3338330
04/06/20, 9087, 363, 6294, 19, 9087, 3338330
04/10/20, 9087, 363, 6294, 31, 9087, 3338330
04/14/20, 20805, 493, 6294, 39, 20805, 3338330
04/18/20, 45841, 969, 6294, 80, 45841, 3338330
04/22/20, 98405, 2079, 6294, 186, 98405, 3338330
04/26/20, 200520, 4401, 6294, 426, 200520, 3338330
04/30/20, 370506, 8758, 6294, 929, 370506, 3338330
05/04/20, 582390, 15653, 6294, 2084, 582390, 3338330
05/08/20, 736918, 24010, 6294, 4110, 736918, 3338330
05/12/20, 743386, 31108, 6294, 7025, 743386, 3338330
05/16/20, 620445, 34426, 6294, 10619, 620445, 3338330
05/20/20, 452179, 33710, 6294, 14508, 452179, 3338330
05/24/20, 301592, 30309, 6294, 18322, 301592, 3338330
05/28/20, 190186, 25801, 6294, 21819, 190186, 3338330
06/01/20, 115840, 21280, 6294, 24885, 115840, 3338330
06/05/20, 69085, 17286, 6294, 27401, 69085, 3338330
06/09/20, 40696, 13986, 6294, 29457, 40696, 3338330
06/13/20, 23811, 11354, 6294, 31190, 23811, 3338330
06/17/20, 13892, 9286, 6294, 32640, 13892, 3338330
06/21/20, 8104, 7667, 6294, 33851, 8104, 3338330
06/25/20, 4738, 6393, 6294, 34862, 4738, 3338330
06/29/20, 2784, 5383, 6294, 35707, 2784, 3338330
07/03/20, 1648, 4571, 6294, 36416, 1648, 3338330
07/07/20, 987, 3911, 6294, 37013, 987, 3338330
