date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 2962, 0, 0, 1552058
03/09/20, 0, 0, 2962, 0, 0, 1552058
03/13/20, 0, 0, 2962, 0, 0, 1552058
03/17/20, 0, 0, 2962, 0, 0, 1552058
03/21/20, 0, 0, 2962, 0, 0, 1552058
03/25/20, 886, 35, 2962, 5, 886, 1552058
03/29/20, 1286, 51, 2962, 6, 1286, 1552058
04/02/20, 2463, 98, 2962, 9, 2463, 1552058
04/06/20, 3625, 145, 2962, 18, 3625, 1552058
04/10/20, 3625, 145, 2962, 22, 3625, 1552058
04/14/20, 8306, 196, 2962, 24, 8306, 1552058
04/18/20, 18340, 386, 2962, 41, 18340, 1552058
04/22/20, 39603, 832, 2962, 83, 39603, 1552058
04/26/20, 81750, 1776, 2962, 180, 81750, 1552058
04/30/20, 154648, 3588, 2962, 386, 154648, 1552058
05/04/20, 251885, 6570, 2962, 848, 251885, 1552058
05/08/20, 333312, 10409, 2962, 1714, 333312, 1552058
05/12/20, 350628, 13923, 2962, 2998, 350628, 1552058
05/16/20, 302050, 15839, 2962, 4627, 302050, 1552058
05/20/20, 225106, 15823, 2962, 6430, 225106, 1552058
05/24/20, 152316, 14415, 2962, 8227, 152316, 1552058
05/28/20, 96937, 12365, 2962, 9893, 96937, 1552058
06/01/20, 59383, 10234, 2962, 11363, 59383, 1552058
06/05/20, 35540, 8317, 2962, 12577, 35540, 1552058
06/09/20, 20979, 6718, 2962, 13567, 20979, 1552058
06/13/20, 12290, 5437, 2962, 14401, 12290, 1552058
06/17/20, 7174, 4428, 2962, 15100, 7174, 1552058
06/21/20, 4185, 3640, 2962, 15683, 4185, 1552058
06/25/20, 2446, 3021, 2962, 16169, 2446, 1552058
06/29/20, 1435, 2531, 2962, 16574, 1435, 1552058
07/03/20, 848, 2139, 2962, 16913, 848, 1552058
07/07/20, 506, 1822, 2962, 17198, 506, 1552058
