date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 2484, 0, 0, 881549
03/09/20, 0, 0, 2484, 0, 0, 881549
03/13/20, 0, 0, 2484, 0, 0, 881549
03/17/20, 0, 0, 2484, 0, 0, 881549
03/21/20, 0, 0, 2484, 0, 0, 881549
03/25/20, 1289, 51, 2484, 1, 1289, 881549
03/29/20, 2463, 98, 2484, 4, 2463, 881549
04/02/20, 3261, 130, 2484, 7, 3261, 881549
04/06/20, 4225, 169, 2484, 9, 4225, 881549
04/10/20, 4225, 169, 2484, 10, 4225, 881549
04/14/20, 6698, 207, 2484, 13, 6698, 881549
04/18/20, 7696, 270, 2484, 26, 7696, 881549
04/22/20, 8559, 335, 2484, 48, 8559, 881549
04/26/20, 9457, 399, 2484, 79, 9457, 881549
04/30/20, 10404, 465, 2484, 117, 10404, 881549
05/04/20, 11392, 531, 2484, 163, 11392, 881549
05/08/20, 12409, 599, 2484, 217, 12409, 881549
05/12/20, 13425, 669, 2484, 279, 13425, 881549
05/16/20, 13770, 732, 2484, 349, 13770, 881549
05/20/20, 13713, 779, 2484, 425, 13713, 881549
05/24/20, 13550, 812, 2484, 507, 13550, 881549
05/28/20, 13323, 833, 2484, 593, 13323, 881549
06/01/20, 13040, 846, 2484, 682, 13040, 881549
06/05/20, 12706, 852, 2484, 773, 12706, 881549
06/09/20, 12326, 852, 2484, 865, 12326, 881549
06/13/20, 11370, 842, 2484, 958, 11370, 881549
06/17/20, 9843, 810, 2484, 1050, 9843, 881549
06/21/20, 8409, 761, 2484, 1139, 8409, 881549
06/25/20, 7166, 704, 2484, 1223, 7166, 881549
06/29/20, 6104, 644, 2484, 1302, 6104, 881549
07/03/20, 5199, 585, 2484, 1376, 5199, 881549
07/07/20, 4430, 529, 2484, 1443, 4430, 881549
