date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 5049, 0, 0, 3175692
03/09/20, 0, 0, 5049, 0, 0, 3175692
03/13/20, 0, 0, 5049, 0, 0, 3175692
03/17/20, 0, 0, 5049, 0, 0, 3175692
03/21/20, 0, 0, 5049, 0, 0, 3175692
03/25/20, 1346, 53, 5049, 1, 1346, 3175692
03/29/20, 3103, 124, 5049, 4, 3103, 3175692
04/02/20, 4722, 188, 5049, 13, 4722, 3175692
04/06/20, 6350, 254, 5049, 14, 6350, 3175692
04/10/20, 6350, 254, 5049, 17, 6350, 3175692
04/14/20, 14561, 344, 5049, 21, 14561, 3175692
04/18/20, 32225, 677, 5049, 49, 32225, 3175692
04/22/20, 69943, 1464, 5049, 124, 69943, 3175692
04/26/20, 145993, 3146, 5049, 294, 145993, 3175692
04/30/20, 282095, 6443, 5049, 660, 282095, 3175692
05/04/20, 475637, 12071, 5049, 1517, 475637, 3175692
05/08/20, 657356, 19724, 5049, 3128, 657356, 3175692
05/12/20, 721916, 27277, 5049, 5591, 721916, 3175692
05/16/20, 644863, 31948, 5049, 8808, 644863, 3175692
05/20/20, 492201, 32645, 5049, 12457, 492201, 3175692
05/24/20, 338294, 30200, 5049, 16160, 338294, 3175692
05/28/20, 217408, 26157, 5049, 19634, 217408, 3175692
06/01/20, 133982, 21767, 5049, 22726, 133982, 3175692
06/05/20, 80477, 17734, 5049, 25384, 80477, 3175692
06/09/20, 47604, 14331, 5049, 27505, 47604, 3175692
06/13/20, 27916, 11587, 5049, 29271, 27916, 3175692
06/17/20, 16302, 9424, 5049, 30752, 16302, 3175692
06/21/20, 9508, 7731, 5049, 31987, 9508, 3175692
06/25/20, 5554, 6404, 5049, 33017, 5554, 3175692
06/29/20, 3256, 5356, 5049, 33876, 3256, 3175692
07/03/20, 1921, 4520, 5049, 34594, 1921, 3175692
07/07/20, 1144, 3845, 5049, 35197, 1144, 3175692
