date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1403, 0, 0, 283111
03/09/20, 0, 0, 1403, 0, 0, 283111
03/13/20, 0, 0, 1403, 0, 0, 283111
03/17/20, 0, 0, 1403, 0, 0, 283111
03/21/20, 0, 0, 1403, 0, 0, 283111
03/25/20, 299, 11, 1403, 0, 299, 283111
03/29/20, 436, 17, 1403, 0, 436, 283111
04/02/20, 579, 23, 1403, 0, 579, 283111
04/06/20, 618, 24, 1403, 1, 618, 283111
04/10/20, 618, 24, 1403, 1, 618, 283111
04/14/20, 983, 30, 1403, 1, 983, 283111
04/18/20, 1135, 39, 1403, 3, 1135, 283111
04/22/20, 1271, 49, 1403, 6, 1271, 283111
04/26/20, 1417, 59, 1403, 10, 1417, 283111
04/30/20, 1578, 69, 1403, 16, 1578, 283111
05/04/20, 1753, 80, 1403, 23, 1753, 283111
05/08/20, 1942, 91, 1403, 31, 1942, 283111
05/12/20, 2143, 103, 1403, 41, 2143, 283111
05/16/20, 2245, 115, 1403, 52, 2245, 283111
05/20/20, 2289, 124, 1403, 63, 2289, 283111
05/24/20, 2321, 132, 1403, 77, 2321, 283111
05/28/20, 2347, 138, 1403, 90, 2347, 283111
06/01/20, 2367, 143, 1403, 105, 2367, 283111
06/05/20, 2382, 148, 1403, 120, 2382, 283111
06/09/20, 2390, 151, 1403, 136, 2390, 283111
06/13/20, 2278, 154, 1403, 153, 2278, 283111
06/17/20, 2033, 151, 1403, 169, 2033, 283111
06/21/20, 1791, 145, 1403, 186, 1791, 283111
06/25/20, 1576, 137, 1403, 202, 1576, 283111
06/29/20, 1386, 128, 1403, 217, 1386, 283111
07/03/20, 1219, 119, 1403, 231, 1219, 283111
07/07/20, 1072, 110, 1403, 245, 1072, 283111
