date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 3021, 0, 0, 2470546
03/09/20, 0, 0, 3021, 0, 0, 2470546
03/13/20, 0, 0, 3021, 0, 0, 2470546
03/17/20, 0, 0, 3021, 0, 0, 2470546
03/21/20, 0, 0, 3021, 0, 0, 2470546
03/25/20, 529, 21, 3021, 7, 529, 2470546
03/29/20, 1518, 60, 3021, 8, 1518, 2470546
04/02/20, 3840, 153, 3021, 14, 3840, 2470546
04/06/20, 7368, 294, 3021, 25, 7368, 2470546
04/10/20, 7368, 294, 3021, 32, 7368, 2470546
04/14/20, 11702, 362, 3021, 38, 11702, 2470546
04/18/20, 13489, 473, 3021, 61, 13489, 2470546
04/22/20, 15072, 588, 3021, 100, 15072, 2470546
04/26/20, 16759, 704, 3021, 153, 16759, 2470546
04/30/20, 18585, 823, 3021, 221, 18585, 2470546
05/04/20, 20552, 948, 3021, 302, 20552, 2470546
05/08/20, 22655, 1078, 3021, 398, 22655, 2470546
05/12/20, 24846, 1214, 3021, 509, 24846, 2470546
05/16/20, 25844, 1344, 3021, 634, 25844, 2470546
05/20/20, 26146, 1446, 3021, 773, 26146, 2470546
05/24/20, 26293, 1526, 3021, 924, 26293, 2470546
05/28/20, 26348, 1588, 3021, 1084, 26348, 2470546
06/01/20, 26318, 1637, 3021, 1251, 26318, 2470546
06/05/20, 26202, 1675, 3021, 1426, 26202, 2470546
06/09/20, 25998, 1703, 3021, 1605, 25998, 2470546
06/13/20, 24484, 1714, 3021, 1788, 24484, 2470546
06/17/20, 21622, 1675, 3021, 1972, 21622, 2470546
06/21/20, 18855, 1598, 3021, 2153, 18855, 2470546
06/25/20, 16408, 1499, 3021, 2327, 16408, 2470546
06/29/20, 14274, 1391, 3021, 2492, 14274, 2470546
07/03/20, 12417, 1282, 3021, 2648, 12417, 2470546
07/07/20, 10804, 1176, 3021, 2793, 10804, 2470546
