date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1121, 0, 0, 762148
03/09/20, 0, 0, 1121, 0, 0, 762148
03/13/20, 0, 0, 1121, 0, 0, 762148
03/17/20, 0, 0, 1121, 0, 0, 762148
03/21/20, 0, 0, 1121, 0, 0, 762148
03/25/20, 460, 18, 1121, 3, 460, 762148
03/29/20, 764, 30, 1121, 4, 764, 762148
04/02/20, 1170, 46, 1121, 9, 1170, 762148
04/06/20, 1393, 55, 1121, 11, 1393, 762148
04/10/20, 1393, 55, 1121, 13, 1393, 762148
04/14/20, 3197, 75, 1121, 14, 3197, 762148
04/18/20, 7083, 148, 1121, 20, 7083, 762148
04/22/20, 15416, 322, 1121, 36, 15416, 762148
04/26/20, 32368, 695, 1121, 74, 32368, 762148
04/30/20, 63228, 1433, 1121, 154, 63228, 762148
05/04/20, 108584, 2718, 1121, 345, 108584, 762148
05/08/20, 153809, 4518, 1121, 708, 153809, 762148
05/12/20, 173356, 6366, 1121, 1274, 173356, 762148
05/16/20, 158081, 7593, 1121, 2026, 158081, 762148
05/20/20, 122451, 7868, 1121, 2890, 122451, 762148
05/24/20, 85006, 7352, 1121, 3778, 85006, 762148
05/28/20, 54979, 6412, 1121, 4616, 54979, 762148
06/01/20, 34018, 5361, 1121, 5367, 34018, 762148
06/05/20, 20484, 4381, 1121, 6014, 20484, 762148
06/09/20, 12135, 3548, 1121, 6544, 12135, 762148
06/13/20, 7123, 2874, 1121, 6975, 7123, 762148
06/17/20, 4161, 2341, 1121, 7337, 4161, 762148
06/21/20, 2427, 1923, 1121, 7639, 2427, 762148
06/25/20, 1418, 1596, 1121, 7891, 1418, 762148
06/29/20, 831, 1337, 1121, 8102, 831, 762148
07/03/20, 490, 1131, 1121, 8279, 490, 762148
07/07/20, 291, 964, 1121, 8427, 291, 762148
