date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 684, 0, 0, 446499
03/09/20, 0, 0, 684, 0, 0, 446499
03/13/20, 0, 0, 684, 0, 0, 446499
03/17/20, 0, 0, 684, 0, 0, 446499
03/21/20, 0, 0, 684, 0, 0, 446499
03/25/20, 187, 7, 684, 0, 187, 446499
03/29/20, 501, 20, 684, 0, 501, 446499
04/02/20, 869, 34, 684, 1, 869, 446499
04/06/20, 1362, 54, 684, 2, 1362, 446499
04/10/20, 1362, 54, 684, 2, 1362, 446499
04/14/20, 2316, 68, 684, 3, 2316, 446499
04/18/20, 3049, 95, 684, 7, 3049, 446499
04/22/20, 3925, 131, 684, 16, 3925, 446499
04/26/20, 5020, 176, 684, 28, 5020, 446499
04/30/20, 6377, 232, 684, 46, 6377, 446499
05/04/20, 8030, 301, 684, 70, 8030, 446499
05/08/20, 10005, 385, 684, 101, 10005, 446499
05/12/20, 12298, 486, 684, 140, 12298, 446499
05/16/20, 14874, 604, 684, 191, 14874, 446499
05/20/20, 17653, 738, 684, 254, 17653, 446499
05/24/20, 20475, 887, 684, 330, 20475, 446499
05/28/20, 23138, 1045, 684, 422, 23138, 446499
06/01/20, 25416, 1203, 684, 531, 25416, 446499
06/05/20, 27100, 1352, 684, 656, 27100, 446499
06/09/20, 27951, 1481, 684, 818, 27951, 446499
06/13/20, 27953, 1582, 684, 997, 27953, 446499
06/17/20, 27096, 1646, 684, 1188, 27096, 446499
06/21/20, 25508, 1671, 684, 1387, 25508, 446499
06/25/20, 23370, 1657, 684, 1588, 23370, 446499
06/29/20, 20894, 1608, 684, 1787, 20894, 446499
07/03/20, 18283, 1530, 684, 1964, 18283, 446499
07/07/20, 15706, 1432, 684, 2132, 15706, 446499
