date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 160, 0, 0, 192843
03/09/20, 0, 0, 160, 0, 0, 192843
03/13/20, 0, 0, 160, 0, 0, 192843
03/17/20, 0, 0, 160, 0, 0, 192843
03/21/20, 0, 0, 160, 0, 0, 192843
03/25/20, 23, 0, 160, 0, 23, 192843
03/29/20, 95, 3, 160, 0, 95, 192843
04/02/20, 143, 5, 160, 0, 143, 192843
04/06/20, 175, 7, 160, 0, 175, 192843
04/10/20, 175, 7, 160, 0, 175, 192843
04/14/20, 298, 8, 160, 0, 298, 192843
04/18/20, 394, 12, 160, 0, 394, 192843
04/22/20, 512, 16, 160, 1, 512, 192843
04/26/20, 664, 22, 160, 3, 664, 192843
04/30/20, 858, 30, 160, 5, 858, 192843
05/04/20, 1105, 40, 160, 8, 1105, 192843
05/08/20, 1420, 52, 160, 12, 1420, 192843
05/12/20, 1816, 68, 160, 18, 1816, 192843
05/16/20, 2308, 87, 160, 25, 2308, 192843
05/20/20, 2912, 112, 160, 34, 2912, 192843
05/24/20, 3643, 142, 160, 46, 3643, 192843
05/28/20, 4505, 179, 160, 60, 4505, 192843
06/01/20, 5494, 223, 160, 79, 5494, 192843
06/05/20, 6588, 274, 160, 102, 6588, 192843
06/09/20, 7746, 331, 160, 133, 7746, 192843
06/13/20, 8898, 394, 160, 174, 8898, 192843
06/17/20, 9962, 460, 160, 222, 9962, 192843
06/21/20, 10848, 525, 160, 278, 10848, 192843
06/25/20, 11467, 585, 160, 341, 11467, 192843
06/29/20, 11746, 636, 160, 412, 11746, 192843
07/03/20, 11668, 675, 160, 488, 11668, 192843
07/07/20, 11250, 698, 160, 569, 11250, 192843
