date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1153, 0, 0, 550660
03/09/20, 0, 0, 1153, 0, 0, 550660
03/13/20, 0, 0, 1153, 0, 0, 550660
03/17/20, 0, 0, 1153, 0, 0, 550660
03/21/20, 0, 0, 1153, 0, 0, 550660
03/25/20, 95, 3, 1153, 0, 95, 550660
03/29/20, 229, 9, 1153, 0, 229, 550660
04/02/20, 348, 13, 1153, 0, 348, 550660
04/06/20, 562, 22, 1153, 0, 562, 550660
04/10/20, 562, 22, 1153, 0, 562, 550660
04/14/20, 957, 28, 1153, 0, 957, 550660
04/18/20, 1266, 39, 1153, 1, 1266, 550660
04/22/20, 1643, 54, 1153, 5, 1643, 550660
04/26/20, 2125, 73, 1153, 10, 2125, 550660
04/30/20, 2743, 98, 1153, 17, 2743, 550660
05/04/20, 3531, 129, 1153, 27, 3531, 550660
05/08/20, 4525, 168, 1153, 41, 4525, 550660
05/12/20, 5772, 217, 1153, 58, 5772, 550660
05/16/20, 7314, 279, 1153, 81, 7314, 550660
05/20/20, 9193, 356, 1153, 110, 9193, 550660
05/24/20, 11437, 450, 1153, 147, 11437, 550660
05/28/20, 14051, 563, 1153, 194, 14051, 550660
06/01/20, 17001, 697, 1153, 253, 17001, 550660
06/05/20, 20202, 850, 1153, 326, 20202, 550660
06/09/20, 23505, 1020, 1153, 414, 23505, 550660
06/13/20, 26702, 1202, 1153, 520, 26702, 550660
06/17/20, 29542, 1389, 1153, 645, 29542, 550660
06/21/20, 31765, 1568, 1153, 789, 31765, 550660
06/25/20, 33151, 1730, 1153, 952, 33151, 550660
06/29/20, 33560, 1862, 1153, 1132, 33560, 550660
07/03/20, 32964, 1955, 1153, 1327, 32964, 550660
07/07/20, 31445, 2004, 1153, 1532, 31445, 550660
