date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1228, 0, 0, 846006
03/09/20, 0, 0, 1228, 0, 0, 846006
03/13/20, 0, 0, 1228, 0, 0, 846006
03/17/20, 0, 0, 1228, 0, 0, 846006
03/21/20, 0, 0, 1228, 0, 0, 846006
03/25/20, 290, 11, 1228, 1, 290, 846006
03/29/20, 728, 29, 1228, 3, 728, 846006
04/02/20, 1190, 47, 1228, 5, 1190, 846006
04/06/20, 1643, 65, 1228, 6, 1643, 846006
04/10/20, 1643, 65, 1228, 7, 1643, 846006
04/14/20, 2614, 80, 1228, 8, 2614, 846006
04/18/20, 3017, 105, 1228, 12, 3017, 846006
04/22/20, 3380, 130, 1228, 21, 3380, 846006
04/26/20, 3772, 157, 1228, 33, 3772, 846006
04/30/20, 4201, 184, 1228, 48, 4201, 846006
05/04/20, 4672, 213, 1228, 66, 4672, 846006
05/08/20, 5185, 243, 1228, 88, 5185, 846006
05/12/20, 5732, 275, 1228, 113, 5732, 846006
05/16/20, 6016, 307, 1228, 142, 6016, 846006
05/20/20, 6144, 333, 1228, 174, 6144, 846006
05/24/20, 6245, 353, 1228, 209, 6245, 846006
05/28/20, 6331, 371, 1228, 246, 6331, 846006
06/01/20, 6404, 386, 1228, 286, 6404, 846006
06/05/20, 6463, 399, 1228, 327, 6463, 846006
06/09/20, 6508, 410, 1228, 370, 6508, 846006
06/13/20, 6226, 417, 1228, 414, 6226, 846006
06/17/20, 5570, 412, 1228, 459, 5570, 846006
06/21/20, 4924, 396, 1228, 503, 4924, 846006
06/25/20, 4344, 375, 1228, 547, 4344, 846006
06/29/20, 3832, 351, 1228, 588, 3832, 846006
07/03/20, 3381, 326, 1228, 628, 3381, 846006
07/07/20, 2984, 302, 1228, 665, 2984, 846006
