date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 36, 0, 0, 18807
03/09/20, 0, 0, 36, 0, 0, 18807
03/13/20, 0, 0, 36, 0, 0, 18807
03/17/20, 0, 0, 36, 0, 0, 18807
03/21/20, 0, 0, 36, 0, 0, 18807
03/25/20, 0, 0, 36, 0, 0, 18807
03/29/20, 0, 0, 36, 0, 0, 18807
04/02/20, 6, 0, 36, 0, 6, 18807
04/06/20, 18, 0, 36, 0, 18, 18807
04/10/20, 18, 0, 36, 0, 18, 18807
04/14/20, 31, 0, 36, 0, 31, 18807
04/18/20, 42, 1, 36, 0, 42, 18807
04/22/20, 54, 1, 36, 0, 54, 18807
04/26/20, 71, 2, 36, 0, 71, 18807
04/30/20, 91, 3, 36, 0, 91, 18807
05/04/20, 118, 4, 36, 0, 118, 18807
05/08/20, 151, 5, 36, 1, 151, 18807
05/12/20, 193, 7, 36, 1, 193, 18807
05/16/20, 244, 9, 36, 2, 244, 18807
05/20/20, 308, 11, 36, 3, 308, 18807
05/24/20, 383, 15, 36, 4, 383, 18807
05/28/20, 472, 18, 36, 6, 472, 18807
06/01/20, 572, 23, 36, 8, 572, 18807
06/05/20, 682, 28, 36, 10, 682, 18807
06/09/20, 796, 34, 36, 13, 796, 18807
06/13/20, 906, 40, 36, 17, 906, 18807
06/17/20, 1005, 47, 36, 21, 1005, 18807
06/21/20, 1083, 53, 36, 26, 1083, 18807
06/25/20, 1132, 58, 36, 32, 1132, 18807
06/29/20, 1147, 63, 36, 38, 1147, 18807
07/03/20, 1127, 66, 36, 44, 1127, 18807
07/07/20, 1075, 68, 36, 51, 1075, 18807
