date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 1379, 0, 0, 1153526
03/09/20, 0, 0, 1379, 0, 0, 1153526
03/13/20, 0, 0, 1379, 0, 0, 1153526
03/17/20, 0, 0, 1379, 0, 0, 1153526
03/21/20, 0, 0, 1379, 0, 0, 1153526
03/25/20, 747, 29, 1379, 1, 747, 1153526
03/29/20, 1163, 46, 1379, 3, 1163, 1153526
04/02/20, 1731, 69, 1379, 3, 1731, 1153526
04/06/20, 2887, 115, 1379, 7, 2887, 1153526
04/10/20, 2887, 115, 1379, 7, 2887, 1153526
04/14/20, 6614, 156, 1379, 9, 6614, 1153526
04/18/20, 14592, 308, 1379, 22, 14592, 1153526
04/22/20, 31421, 662, 1379, 56, 31421, 1153526
04/26/20, 64510, 1408, 1379, 132, 64510, 1153526
04/30/20, 120814, 2826, 1379, 313, 120814, 1153526
05/04/20, 193699, 5119, 1379, 705, 193699, 1153526
05/08/20, 251035, 7997, 1379, 1373, 251035, 1153526
05/12/20, 259186, 10530, 1379, 2349, 259186, 1153526
05/16/20, 220231, 11837, 1379, 3572, 220231, 1153526
05/20/20, 162400, 11723, 1379, 4911, 162400, 1153526
05/24/20, 109170, 10620, 1379, 6237, 109170, 1153526
05/28/20, 69185, 9082, 1379, 7460, 69185, 1153526
06/01/20, 42269, 7508, 1379, 8537, 42269, 1153526
06/05/20, 25256, 6104, 1379, 9456, 25256, 1153526
06/09/20, 14894, 4938, 1379, 10223, 14894, 1153526
06/13/20, 8720, 4005, 1379, 10832, 8720, 1153526
06/17/20, 5089, 3272, 1379, 11343, 5089, 1153526
06/21/20, 2969, 2698, 1379, 11770, 2969, 1153526
06/25/20, 1736, 2247, 1379, 12126, 1736, 1153526
06/29/20, 1020, 1889, 1379, 12423, 1020, 1153526
07/03/20, 603, 1602, 1379, 12673, 603, 1153526
07/07/20, 361, 1369, 1379, 12883, 361, 1153526
