date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/04/20, 157, 6, 71691, 1, 157, 39512223
03/08/20, 442, 17, 71691, 1, 442, 39512223
03/12/20, 997, 39, 71691, 4, 997, 39512223
03/16/20, 2513, 100, 71691, 7, 2513, 39512223
03/20/20, 5311, 212, 71691, 23, 5311, 39512223
03/24/20, 11454, 458, 71691, 50, 11454, 39512223
03/28/20, 22994, 919, 71691, 110, 22994, 39512223
04/01/20, 42418, 1696, 71691, 199, 42418, 39512223
04/05/20, 67850, 2714, 71691, 348, 67850, 39512223
04/09/20, 67850, 2714, 71691, 495, 67850, 39512223
04/13/20, 115518, 3389, 71691, 544, 115518, 39512223
04/17/20, 152571, 4744, 71691, 744, 152571, 39512223
04/21/20, 197411, 6559, 71691, 1155, 197411, 39512223
04/25/20, 254392, 8861, 71691, 1780, 254392, 39512223
04/29/20, 326533, 11759, 71691, 2661, 326533, 39512223
05/03/20, 417086, 15395, 71691, 3857, 417086, 39512223
05/07/20, 529343, 19938, 71691, 5441, 529343, 39512223
05/11/20, 666479, 25565, 71691, 7503, 666479, 39512223
05/15/20, 830673, 32457, 71691, 10155, 830673, 39512223
05/19/20, 1022203, 40759, 71691, 13525, 1022203, 39512223
05/23/20, 1238672, 50561, 71691, 17757, 1238672, 39512223
05/27/20, 1474706, 61833, 71691, 23003, 1474706, 39512223
05/31/20, 1717890, 74387, 71691, 29415, 1717890, 39512223
06/04/20, 1952461, 87820, 71691, 37121, 1952461, 39512223
06/08/20, 2160499, 101530, 71691, 46205, 2160499, 39512223
06/12/20, 2320732, 114725, 71691, 56713, 2320732, 39512223
06/16/20, 2416254, 126491, 71691, 68599, 2416254, 39512223
06/20/20, 2438065, 135959, 71691, 81730, 2438065, 39512223
06/24/20, 2385350, 142462, 71691, 95898, 2385350, 39512223
06/28/20, 2265625, 145622, 71691, 110827, 2265625, 39512223
07/02/20, 2093966, 145390, 71691, 126197, 2093966, 39512223
07/06/20, 1888064, 142035, 71691, 141682, 1888064, 39512223
