date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 396, 0, 0, 219186
03/09/20, 0, 0, 396, 0, 0, 219186
03/13/20, 0, 0, 396, 0, 0, 219186
03/17/20, 0, 0, 396, 0, 0, 219186
03/21/20, 0, 0, 396, 0, 0, 219186
03/25/20, 29, 1, 396, 0, 29, 219186
03/29/20, 36, 1, 396, 0, 36, 219186
04/02/20, 66, 2, 396, 0, 66, 219186
04/06/20, 81, 3, 396, 0, 81, 219186
04/10/20, 81, 3, 396, 0, 81, 219186
04/14/20, 186, 4, 396, 0, 186, 219186
04/18/20, 418, 8, 396, 0, 418, 219186
04/22/20, 932, 18, 396, 0, 932, 219186
04/26/20, 2060, 42, 396, 3, 2060, 219186
04/30/20, 4475, 93, 396, 8, 4475, 219186
05/04/20, 9378, 202, 396, 19, 9378, 219186
05/08/20, 18283, 415, 396, 42, 18283, 219186
05/12/20, 31294, 786, 396, 94, 31294, 219186
05/16/20, 44173, 1302, 396, 200, 44173, 219186
05/20/20, 49691, 1832, 396, 363, 49691, 219186
05/24/20, 45255, 2180, 396, 579, 45255, 219186
05/28/20, 35069, 2256, 396, 828, 35069, 219186
06/01/20, 24329, 2107, 396, 1083, 24329, 219186
06/05/20, 15735, 1836, 396, 1324, 15735, 219186
06/09/20, 9739, 1534, 396, 1539, 9739, 219186
06/13/20, 5866, 1253, 396, 1725, 5866, 219186
06/17/20, 3476, 1015, 396, 1872, 3476, 219186
06/21/20, 2041, 821, 396, 1996, 2041, 219186
06/25/20, 1192, 669, 396, 2100, 1192, 219186
06/29/20, 696, 549, 396, 2186, 696, 219186
07/03/20, 406, 455, 396, 2259, 406, 219186
07/07/20, 238, 381, 396, 2319, 238, 219186
