date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 5337, 0, 0, 2180085
03/09/20, 0, 0, 5337, 0, 0, 2180085
03/13/20, 0, 0, 5337, 0, 0, 2180085
03/17/20, 0, 0, 5337, 0, 0, 2180085
03/21/20, 0, 0, 5337, 0, 0, 2180085
03/25/20, 348, 13, 5337, 1, 348, 2180085
03/29/20, 696, 27, 5337, 3, 696, 2180085
04/02/20, 2328, 93, 5337, 6, 2328, 2180085
04/06/20, 3418, 136, 5337, 13, 3418, 2180085
04/10/20, 3418, 136, 5337, 17, 3418, 2180085
04/14/20, 7847, 185, 5337, 19, 7847, 2180085
04/18/20, 17417, 365, 5337, 34, 17417, 2180085
04/22/20, 38061, 793, 5337, 74, 38061, 2180085
04/26/20, 80608, 1719, 5337, 167, 80608, 2180085
04/30/20, 160268, 3585, 5337, 368, 160268, 2180085
05/04/20, 283500, 6930, 5337, 778, 283500, 2180085
05/08/20, 418214, 11856, 5337, 1656, 418214, 2180085
05/12/20, 492853, 17267, 5337, 3167, 492853, 2180085
05/16/20, 466354, 21226, 5337, 5236, 466354, 2180085
05/20/20, 371322, 22518, 5337, 7677, 371322, 2180085
05/24/20, 262365, 21390, 5337, 10231, 262365, 2180085
05/28/20, 171638, 18845, 5337, 12677, 171638, 2180085
06/01/20, 106964, 15840, 5337, 14884, 106964, 2180085
06/05/20, 64694, 12970, 5337, 16683, 64694, 2180085
06/09/20, 38429, 10497, 5337, 18190, 38429, 2180085
06/13/20, 22591, 8480, 5337, 19467, 22591, 2180085
06/17/20, 13209, 6883, 5337, 20540, 13209, 2180085
06/21/20, 7708, 5630, 5337, 21436, 7708, 2180085
06/25/20, 4500, 4650, 5337, 22183, 4500, 2180085
06/29/20, 2635, 3878, 5337, 22806, 2635, 2180085
07/03/20, 1552, 3264, 5337, 23327, 1552, 2180085
07/07/20, 922, 2770, 5337, 23763, 922, 2180085
