date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 694, 0, 0, 494336
03/09/20, 0, 0, 694, 0, 0, 494336
03/13/20, 0, 0, 694, 0, 0, 494336
03/17/20, 0, 0, 694, 0, 0, 494336
03/21/20, 0, 0, 694, 0, 0, 494336
03/25/20, 229, 9, 694, 1, 229, 494336
03/29/20, 391, 15, 694, 1, 391, 494336
04/02/20, 614, 24, 694, 2, 614, 494336
04/06/20, 750, 30, 694, 2, 750, 494336
04/10/20, 750, 30, 694, 2, 750, 494336
04/14/20, 1193, 36, 694, 2, 1193, 494336
04/18/20, 1379, 47, 694, 4, 1379, 494336
04/22/20, 1547, 59, 694, 8, 1547, 494336
04/26/20, 1729, 71, 694, 13, 1729, 494336
04/30/20, 1930, 84, 694, 20, 1930, 494336
05/04/20, 2152, 97, 694, 29, 2152, 494336
05/08/20, 2396, 112, 694, 39, 2396, 494336
05/12/20, 2654, 127, 694, 50, 2654, 494336
05/16/20, 2805, 142, 694, 63, 2805, 494336
05/20/20, 2879, 154, 694, 78, 2879, 494336
05/24/20, 2941, 165, 694, 94, 2941, 494336
05/28/20, 2997, 174, 694, 111, 2997, 494336
06/01/20, 3050, 181, 694, 130, 3050, 494336
06/05/20, 3097, 188, 694, 149, 3097, 494336
06/09/20, 3140, 195, 694, 169, 3140, 494336
06/13/20, 3021, 199, 694, 190, 3021, 494336
06/17/20, 2720, 198, 694, 212, 2720, 494336
06/21/20, 2420, 191, 694, 233, 2420, 494336
06/25/20, 2150, 182, 694, 254, 2150, 494336
06/29/20, 1910, 171, 694, 274, 1910, 494336
07/03/20, 1697, 160, 694, 293, 1697, 494336
07/07/20, 1509, 149, 694, 311, 1509, 494336
