date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 19275, 0, 0, 10039107
03/09/20, 0, 0, 19275, 0, 0, 10039107
03/13/20, 0, 0, 19275, 0, 0, 10039107
03/17/20, 0, 0, 19275, 0, 0, 10039107
03/21/20, 0, 0, 19275, 0, 0, 10039107
03/25/20, 6015, 240, 19275, 13, 6015, 10039107
03/29/20, 13550, 542, 19275, 32, 13550, 10039107
04/02/20, 29967, 1198, 19275, 78, 29967, 10039107
04/06/20, 47243, 1889, 19275, 147, 47243, 10039107
04/10/20, 47243, 1889, 19275, 198, 47243, 10039107
04/14/20, 80215, 2366, 19275, 241, 80215, 10039107
04/18/20, 105161, 3313, 19275, 401, 105161, 10039107
04/22/20, 134524, 4539, 19275, 686, 134524, 10039107
04/26/20, 170485, 6060, 19275, 1116, 170485, 10039107
04/30/20, 213839, 7916, 19275, 1715, 213839, 10039107
05/04/20, 264850, 10149, 19275, 2514, 264850, 10039107
05/08/20, 322835, 12787, 19275, 3551, 322835, 10039107
05/12/20, 386402, 15829, 19275, 4861, 386402, 10039107
05/16/20, 452503, 19222, 19275, 6489, 452503, 10039107
05/20/20, 516409, 22867, 19275, 8467, 516409, 10039107
05/24/20, 572716, 26586, 19275, 10821, 572716, 10039107
05/28/20, 615991, 30158, 19275, 13558, 615991, 10039107
06/01/20, 641600, 33343, 19275, 16667, 641600, 10039107
06/05/20, 646564, 35904, 19275, 20112, 646564, 10039107
06/09/20, 630999, 37646, 19275, 23838, 630999, 10039107
06/13/20, 597353, 38464, 19275, 27766, 597353, 10039107
06/17/20, 549687, 38354, 19275, 31810, 549687, 10039107
06/21/20, 493012, 37396, 19275, 35882, 493012, 10039107
06/25/20, 432138, 35728, 19275, 39898, 432138, 10039107
06/29/20, 371437, 33531, 19275, 43783, 371437, 10039107
07/03/20, 314349, 30991, 19275, 47475, 314349, 10039107
07/07/20, 262444, 28282, 19275, 50933, 262444, 10039107
