date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 43, 0, 0, 39752
03/09/20, 0, 0, 43, 0, 0, 39752
03/13/20, 0, 0, 43, 0, 0, 39752
03/17/20, 0, 0, 43, 0, 0, 39752
03/21/20, 0, 0, 43, 0, 0, 39752
03/25/20, 12, 0, 43, 0, 12, 39752
03/29/20, 12, 0, 43, 0, 12, 39752
04/02/20, 18, 0, 43, 0, 18, 39752
04/06/20, 18, 0, 43, 0, 18, 39752
04/10/20, 18, 0, 43, 0, 18, 39752
04/14/20, 29, 0, 43, 0, 29, 39752
04/18/20, 34, 1, 43, 0, 34, 39752
04/22/20, 38, 1, 43, 0, 38, 39752
04/26/20, 43, 1, 43, 0, 43, 39752
04/30/20, 48, 2, 43, 0, 48, 39752
05/04/20, 54, 2, 43, 0, 54, 39752
05/08/20, 61, 2, 43, 0, 61, 39752
05/12/20, 68, 3, 43, 1, 68, 39752
05/16/20, 73, 3, 43, 1, 73, 39752
05/20/20, 75, 3, 43, 1, 75, 39752
05/24/20, 78, 4, 43, 2, 78, 39752
05/28/20, 81, 4, 43, 2, 81, 39752
06/01/20, 83, 4, 43, 3, 83, 39752
06/05/20, 86, 5, 43, 3, 86, 39752
06/09/20, 89, 5, 43, 4, 89, 39752
06/13/20, 87, 5, 43, 4, 87, 39752
06/17/20, 79, 5, 43, 5, 79, 39752
06/21/20, 72, 5, 43, 5, 72, 39752
06/25/20, 65, 5, 43, 6, 65, 39752
06/29/20, 59, 4, 43, 6, 59, 39752
07/03/20, 53, 4, 43, 7, 53, 39752
07/07/20, 48, 4, 43, 8, 48, 39752
