date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 493, 0, 0, 180080
03/09/20, 0, 0, 493, 0, 0, 180080
03/13/20, 0, 0, 493, 0, 0, 180080
03/17/20, 0, 0, 493, 0, 0, 180080
03/21/20, 0, 0, 493, 0, 0, 180080
03/25/20, 21, 0, 493, 1, 21, 180080
03/29/20, 28, 1, 493, 1, 28, 180080
04/02/20, 50, 2, 493, 1, 50, 180080
04/06/20, 143, 5, 493, 3, 143, 180080
04/10/20, 143, 5, 493, 3, 143, 180080
04/14/20, 228, 7, 493, 3, 228, 180080
04/18/20, 265, 9, 493, 3, 265, 180080
04/22/20, 297, 11, 493, 3, 297, 180080
04/26/20, 333, 13, 493, 4, 333, 180080
04/30/20, 373, 15, 493, 5, 373, 180080
05/04/20, 417, 17, 493, 6, 417, 180080
05/08/20, 467, 20, 493, 7, 467, 180080
05/12/20, 521, 22, 493, 9, 521, 180080
05/16/20, 551, 25, 493, 10, 551, 180080
05/20/20, 569, 27, 493, 12, 569, 180080
05/24/20, 585, 30, 493, 15, 585, 180080
05/28/20, 601, 32, 493, 18, 601, 180080
06/01/20, 617, 34, 493, 22, 617, 180080
06/05/20, 633, 36, 493, 25, 633, 180080
06/09/20, 649, 37, 493, 29, 649, 180080
06/13/20, 631, 39, 493, 33, 631, 180080
06/17/20, 574, 39, 493, 37, 574, 180080
06/21/20, 517, 38, 493, 42, 517, 180080
06/25/20, 464, 37, 493, 46, 464, 180080
06/29/20, 417, 35, 493, 50, 417, 180080
07/03/20, 375, 33, 493, 54, 375, 180080
07/07/20, 337, 31, 493, 57, 337, 180080
