date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/04/20, 157, 6, 71691, 1, 157, 39512223
03/08/20, 442, 17, 71691, 1, 442, 39512223
03/12/20, 997, 39, 71691, 4, 997, 39512223
03/16/20, 2513, 100, 71691, 7, 2513, 39512223
03/20/20, 5311, 212, 71691, 23, 5311, 39512223
03/24/20, 11454, 458, 71691, 50, 11454, 39512223
03/28/20, 22994, 919, 71691, 110, 22994, 39512223
04/01/20, 42418, 1696, 71691, 199, 42418, 39512223
04/05/20, 67850, 2714, 71691, 348, 67850, 39512223
04/09/20, 67850, 2714, 71691, 495, 67850, 39512223
04/13/20, 107889, 3332, 71691, 543, 107889, 39512223
04/17/20, 124675, 4333, 71691, 725, 124675, 39512223
04/21/20, 139754, 5404, 71691, 1080, 139754, 39512223
04/25/20, 156140, 6498, 71691, 1571, 156140, 39512223
04/29/20, 174166, 7635, 71691, 2197, 174166, 39512223
05/03/20, 193980, 8833, 71691, 2956, 193980, 39512223
05/07/20, 215666, 10105, 71691, 3854, 215666, 39512223
05/11/20, 238943, 11467, 71691, 4895, 238943, 39512223
05/15/20, 251222, 12796, 71691, 6083, 251222, 39512223
05/19/20, 257265, 13894, 71691, 7410, 257265, 39512223
05/23/20, 262184, 14796, 71691, 8858, 262184, 39512223
05/27/20, 266626, 15561, 71691, 10412, 266626, 39512223
05/31/20, 270604, 16226, 71691, 12058, 270604, 39512223
06/04/20, 274086, 16810, 71691, 13785, 274086, 39512223
06/08/20, 276998, 17327, 71691, 15585, 276998, 39512223
06/12/20, 265537, 17678, 71691, 17447, 265537, 39512223
06/16/20, 238401, 17508, 71691, 19341, 238401, 39512223
06/20/20, 211536, 16899, 71691, 21224, 211536, 39512223
06/24/20, 187399, 16041, 71691, 23061, 187399, 39512223
06/28/20, 166000, 15064, 71691, 24826, 166000, 39512223
07/02/20, 147081, 14045, 71691, 26503, 147081, 39512223
07/06/20, 130361, 13028, 71691, 28083, 130361, 39512223
